gvkey,iid,datadate,tic,prccd,,,
1161,1,20171114,AMD,11.12,,,
1161,1,20171115,AMD,11.07,,,
1161,1,20171116,AMD,11.25,,,
1161,1,20171117,AMD,11.38,,,
1161,1,20171120,AMD,11.34,,,
1161,1,20171121,AMD,11.4,,,
1161,1,20171122,AMD,11.37,,,
1161,1,20171124,AMD,11.38,,,
1161,1,20171127,AMD,11.55,,,
1161,1,20171128,AMD,11.17,,,
1161,1,20171129,AMD,10.83,,,
1161,1,20171130,AMD,10.89,,,
1161,1,20171201,AMD,10.73,,,
1161,1,20171204,AMD,10.03,,,
1161,1,20171205,AMD,9.91,,,
1161,1,20171206,AMD,10,,,
1161,1,20171207,AMD,10.04,,,
1161,1,20171208,AMD,9.94,,,
1161,1,20171211,AMD,10.16,,,
1161,1,20171212,AMD,9.9,,,
1161,1,20171213,AMD,10.11,,,
1161,1,20171214,AMD,10.13,,,
1161,1,20171215,AMD,10.29,,,
1161,1,20171218,AMD,10.98,,,
1161,1,20171219,AMD,10.95,,,
1161,1,20171220,AMD,10.98,,,
1161,1,20171221,AMD,10.89,,,
1161,1,20171222,AMD,10.54,,,
1161,1,20171226,AMD,10.46,,,
1161,1,20171227,AMD,10.53,,,
1161,1,20171228,AMD,10.55,,,
1161,1,20171229,AMD,10.28,,,
1161,1,20180102,AMD,10.98,,,
1161,1,20180103,AMD,11.55,,,
1161,1,20180104,AMD,12.12,,,
1161,1,20180105,AMD,11.88,,,
1161,1,20180108,AMD,12.28,,,
1161,1,20180109,AMD,11.82,,,
1161,1,20180110,AMD,11.96,,,
1161,1,20180111,AMD,12.14,,,
1161,1,20180112,AMD,12.02,,,
1161,1,20180116,AMD,11.91,,,
1161,1,20180117,AMD,12.18,,,
1161,1,20180118,AMD,12.47,,,
1161,1,20180119,AMD,12.59,,,
1161,1,20180122,AMD,12.65,,,
1161,1,20180123,AMD,12.94,,,
1161,1,20180124,AMD,12.71,,,
1161,1,20180125,AMD,12.41,,,
1161,1,20180126,AMD,12.95,,,
1161,1,20180129,AMD,13.32,,,
1161,1,20180130,AMD,12.87,,,
1161,1,20180131,AMD,13.74,,,
1161,1,20180201,AMD,13.25,,,
1161,1,20180202,AMD,12.45,,,
1161,1,20180205,AMD,11.57,,,
1161,1,20180206,AMD,11.65,,,
1161,1,20180207,AMD,11.6,,,
1161,1,20180208,AMD,11.22,,,
1161,1,20180209,AMD,11.31,,,
1161,1,20180212,AMD,11.68,,,
1161,1,20180213,AMD,11.78,,,
1161,1,20180214,AMD,12.2,,,
1161,1,20180215,AMD,12.19,,,
1161,1,20180216,AMD,11.82,,,
1161,1,20180220,AMD,12.02,,,
1161,1,20180221,AMD,11.72,,,
1161,1,20180222,AMD,11.84,,,
1161,1,20180223,AMD,12.07,,,
1161,1,20180226,AMD,12.42,,,
1161,1,20180227,AMD,12.53,,,
1161,1,20180228,AMD,12.11,,,
1161,1,20180301,AMD,11.9,,,
1161,1,20180302,AMD,11.81,,,
1161,1,20180305,AMD,11.91,,,
1161,1,20180306,AMD,11.76,,,
1161,1,20180307,AMD,12.24,,,
1161,1,20180308,AMD,11.97,,,
1161,1,20180309,AMD,11.7,,,
1161,1,20180312,AMD,11.52,,,
1161,1,20180313,AMD,11.64,,,
1161,1,20180314,AMD,11.36,,,
1161,1,20180315,AMD,11.46,,,
1161,1,20180316,AMD,11.47,,,
1161,1,20180319,AMD,11.43,,,
1161,1,20180320,AMD,11.11,,,
1161,1,20180321,AMD,11.26,,,
1161,1,20180322,AMD,10.91,,,
1161,1,20180323,AMD,10.63,,,
1161,1,20180326,AMD,10.44,,,
1161,1,20180327,AMD,10,,,
1161,1,20180328,AMD,9.81,,,
1161,1,20180329,AMD,10.05,,,
1161,1,20180402,AMD,9.53,,,
1161,1,20180403,AMD,9.55,,,
1161,1,20180404,AMD,9.77,,,
1161,1,20180405,AMD,10.02,,,
1161,1,20180406,AMD,9.61,,,
1161,1,20180409,AMD,9.53,,,
1161,1,20180410,AMD,9.98,,,
1161,1,20180411,AMD,9.82,,,
1161,1,20180412,AMD,10.08,,,
1161,1,20180413,AMD,9.93,,,
1161,1,20180416,AMD,10.09,,,
1161,1,20180417,AMD,10.52,,,
1161,1,20180418,AMD,10.36,,,
1161,1,20180419,AMD,10.11,,,
1161,1,20180420,AMD,9.99,,,
1161,1,20180423,AMD,10.04,,,
1161,1,20180424,AMD,10.09,,,
1161,1,20180425,AMD,9.71,,,
1161,1,20180426,AMD,11.04,,,
1161,1,20180427,AMD,11.11,,,
1161,1,20180430,AMD,10.88,,,
1161,1,20180501,AMD,11.13,,,
1161,1,20180502,AMD,10.97,,,
1161,1,20180503,AMD,10.93,,,
1161,1,20180504,AMD,11.28,,,
1161,1,20180507,AMD,11.59,,,
1161,1,20180508,AMD,11.61,,,
1161,1,20180509,AMD,11.95,,,
1161,1,20180510,AMD,12.13,,,
1161,1,20180511,AMD,11.95,,,
1161,1,20180514,AMD,12.23,,,
1161,1,20180515,AMD,12.45,,,
1161,1,20180516,AMD,12.82,,,
1161,1,20180517,AMD,12.82,,,
1161,1,20180518,AMD,13,,,
1161,1,20180521,AMD,12.99,,,
1161,1,20180522,AMD,12.98,,,
1161,1,20180523,AMD,13.1,,,
1161,1,20180524,AMD,13.41,,,
1161,1,20180525,AMD,13.54,,,
1161,1,20180529,AMD,13.36,,,
1161,1,20180530,AMD,13.82,,,
1161,1,20180531,AMD,13.73,,,
1161,1,20180601,AMD,14.4,,,
1161,1,20180604,AMD,14.85,,,
1161,1,20180605,AMD,14.85,,,
1161,1,20180606,AMD,15.67,,,
1161,1,20180607,AMD,14.89,,,
1161,1,20180608,AMD,15.25,,,
